GRUPO,DEPARTAMEN,PROVINCIA,DISTRITO,hogares_termicos,productores_cobertizo,hectareas_mantas,aulas_calidas,eess_refuerzo,hogares_kit_friaje
ANDES,PUNO,EL COLLAO,CAPAZO,0,0,0,0,0,0
ANDES,PUNO,CHUCUITO,PISACOMA,0,0,0,0,0,0
ANDES,PUNO,CHUCUITO,KELLUYO,0,0,0,0,0,0
ANDES,PUNO,CHUCUITO,DESAGUADERO,0,0,0,0,0,0
ANDES,PUNO,EL COLLAO,SANTA ROSA,0,0,0,0,0,0
ANDES,PUNO,CHUCUITO,HUACULLANI,0,0,0,0,0,0
ANDES,PUNO,EL COLLAO,CONDURIRI,0,0,0,0,0,0
ANDES,PUNO,CHUCUITO,ZEPITA,0,0,0,0,0,0
ANDES,PUNO,CHUCUITO,POMATA,0,0,0,0,0,0
ANDES,PUNO,CHUCUITO,JULI,0,0,0,0,0,0
ANDES,AREQUIPA,AREQUIPA,CAYMA,0,0,0,0,0,0
ANDES,PUNO,PUNO,SAN ANTONIO,0,0,0,0,0,0
ANDES,PUNO,PUNO,PICHACANI,0,0,0,0,0,0
ANDES,AREQUIPA,AREQUIPA,SAN JUAN DE TARUCANI,0,0,0,0,0,0
ANDES,PUNO,PUNO,PUNO,0,0,0,0,0,0
ANDES,PUNO,PUNO,TIQUILLACA,0,0,0,0,0,0
ANDES,AREQUIPA,CAYLLOMA,ACHOMA,0,0,0,0,0,0
ANDES,AREQUIPA,CAYLLOMA,MACA,0,0,0,0,0,0
ANDES,PUNO,SAN ROMAN,CABANILLAS,0,0,0,0,0,0
ANDES,AREQUIPA,CAYLLOMA,YANQUE,0,0,0,0,0,0
ANDES,PUNO,PUNO,COATA,0,0,0,0,0,0
ANDES,AREQUIPA,CAYLLOMA,SAN ANTONIO DE CHUCA,0,0,0,0,0,0
ANDES,PUNO,PUNO,HUATA,0,0,0,0,0,0
ANDES,AREQUIPA,CASTILLA,VIRACO,0,0,0,0,0,0
ANDES,AREQUIPA,CAYLLOMA,COPORAQUE,0,0,0,0,0,0
ANDES,AREQUIPA,CAYLLOMA,ICHUPAMPA,0,0,0,0,0,0
ANDES,PUNO,LAMPA,CABANILLA,0,0,0,0,0,0
ANDES,AREQUIPA,CAYLLOMA,MADRIGAL,0,0,0,0,0,0
ANDES,PUNO,SAN ROMAN,CARACOTO,0,0,0,0,0,0
ANDES,PUNO,MOHO,CONIMA,0,0,0,0,0,0
ANDES,AREQUIPA,CAYLLOMA,TUTI,0,0,0,0,0,0
ANDES,PUNO,HUANCANE,PUSI,0,0,0,0,0,0
ANDES,AREQUIPA,CAYLLOMA,LARI,0,0,0,0,0,0
ANDES,PUNO,LAMPA,SANTA LUCIA,0,0,0,0,0,0
ANDES,PUNO,SAN ROMAN,JULIACA,0,0,0,0,0,0
ANDES,PUNO,MELGAR,UMACHIRI,0,0,0,0,0,0
ANDES,CUSCO,ESPINAR,PALLPATA,0,0,0,0,0,0
ANDES,PUNO,AZANGARO,AZANGARO,0,0,0,0,0,0
ANDES,CUSCO,ESPINAR,ESPINAR,0,0,0,0,0,0
ANDES,PUNO,SAN ANTONIO DE PUTINA,QUILCAPUNCU,0,0,0,0,0,0
ANDES,PUNO,MELGAR,AYAVIRI,0,0,0,0,0,0
ANDES,AREQUIPA,LA UNION,PUYCA,0,0,0,0,0,0
ANDES,AREQUIPA,LA UNION,HUAYNACOTAS,0,0,0,0,0,0
ANDES,CUSCO,ESPINAR,ALTO PICHIGUA,0,0,0,0,0,0
ANDES,AREQUIPA,CONDESUYOS,CAYARANI,0,0,0,0,0,0
ANDES,CUSCO,ESPINAR,PICHIGUA,0,0,0,0,0,0
ANDES,PUNO,PUNO,ACORA,0,0,0,0,0,0
ANDES,PUNO,PUNO,MANAZO,0,0,0,0,0,0
ANDES,PUNO,PUNO,VILQUE,0,0,0,0,0,0
ANDES,AREQUIPA,CAYLLOMA,CALLALLI,0,0,0,0,0,0
ANDES,AREQUIPA,CAYLLOMA,TAPAY,0,0,0,0,0,0
ANDES,PUNO,HUANCANE,TARACO,0,0,0,0,0,0
ANDES,AREQUIPA,CASTILLA,ORCOPAMPA,0,0,0,0,0,0
ANDES,CUSCO,ESPINAR,SUYCKUTAMBO,0,0,0,0,0,0
ANDES,AREQUIPA,CASTILLA,CHACHAS,0,0,0,0,0,0
ANDES,PUNO,AZANGARO,TIRAPATA,0,0,0,0,0,0
ANDES,PUNO,MELGAR,CUPI,0,0,0,0,0,0
