IDDPTO,DEPARTAMEN,IDPROV,PROVINCIA,IDDIST,DISTRITO,CAPITAL,CODCCPP,AREA,FUENTE,UBIGEO,mean,min,max
10,HUANUCO,1009,PUERTO INCA,100902,CODO DEL POZUZO,CODO DEL POZUZO,0001,1,INEI,100902,18.761000246422313,8.870022010803222,22.406237411499024
10,HUANUCO,1009,PUERTO INCA,100904,TOURNAVISTA,TOURNAVISTA,0001,1,INEI,100904,22.04822334155702,19.565966415405274,22.562615585327148
25,UCAYALI,2503,PADRE ABAD,250305,ALEXANDER VON HUMBOLDT,ALEXANDER VON HUMBOLDT,0001,1,INEI,250305,21.86290740966797,21.730025863647462,21.94694595336914
25,UCAYALI,2503,PADRE ABAD,250302,IRAZOLA,SAN ALEJANDRO,0001,1,INEI,250302,22.097315240675403,21.48694839477539,22.322860336303712
25,UCAYALI,2503,PADRE ABAD,250304,NESHUYA,MONTE ALEGRE,0001,1,INEI,250304,21.93790310946378,21.727420806884766,22.18037528991699
25,UCAYALI,2503,PADRE ABAD,250301,PADRE ABAD,AGUAYTIA,0001,1,INEI,250301,20.078721400669643,14.919733619689941,22.343115234375
25,UCAYALI,2503,PADRE ABAD,250303,CURIMANA,CURIMANA,0001,1,INEI,250303,22.027528036794354,21.757618713378907,22.194359970092773
10,HUANUCO,1009,PUERTO INCA,100901,PUERTO INCA,PUERTO INCA,0001,1,INEI,100901,21.585726224459137,15.903338813781739,22.385644149780273
25,UCAYALI,2501,CORONEL PORTILLO,250106,NUEVA REQUENA,NUEVA REQUENA,0001,1,INEI,250106,22.05329483695652,21.581370544433593,22.339437103271486
25,UCAYALI,2501,CORONEL PORTILLO,250102,CAMPOVERDE,CAMPO VERDE,0001,1,INEI,250102,21.91120784108232,21.55579490661621,22.176005172729493
16,LORETO,1606,UCAYALI,160601,CONTAMANA,CONTAMANA,0001,1,INEI,160601,21.204777664811644,14.53840217590332,22.295165634155275
13,LA LIBERTAD,1301,TRUJILLO,130104,HUANCHACO,HUANCHACO,0001,1,INEI,130104,17.633370293511284,16.32264938354492,18.29012222290039
13,LA LIBERTAD,1302,ASCOPE,130207,SANTIAGO DE CAO,SANTIAGO DE CAO,0001,1,INEI,130207,18.339739990234374,18.209721755981445,18.48116569519043
13,LA LIBERTAD,1301,TRUJILLO,130110,SIMBAL,SIMBAL,0001,1,INEI,130110,16.16620566628196,14.675240325927735,17.434360122680665
13,LA LIBERTAD,1302,ASCOPE,130204,MAGDALENA DE CAO,MAGDALENA DE CAO,0001,1,INEI,130204,18.065458424886067,17.849629211425782,18.25208740234375
13,LA LIBERTAD,1302,ASCOPE,130203,CHOCOPE,CHOCOPE,0001,1,INEI,130203,18.007087453206378,17.92875099182129,18.13236427307129
13,LA LIBERTAD,1302,ASCOPE,130205,PAIJAN,PAIJAN,0001,1,INEI,130205,18.02424850463867,18.013005828857423,18.03549156188965
13,LA LIBERTAD,1306,OTUZCO,130613,SINSICAP,SINSICAP,0001,1,INEI,130613,13.194317626953126,5.930303955078125,17.968769454956053
13,LA LIBERTAD,1302,ASCOPE,130202,CHICAMA,CHICAMA,0001,1,INEI,130202,17.896813583374023,16.256997108459473,18.521160507202147
13,LA LIBERTAD,1302,ASCOPE,130206,RAZURI,PUERTO DE MALABRIGO,0001,1,INEI,130206,17.801843539151278,17.545857620239257,18.021992111206053
13,LA LIBERTAD,1311,GRAN CHIMU,131103,MARMOT,MARMOT /13,0001,1,INEI,131103,14.433559265136719,7.76013069152832,18.18647155761719
13,LA LIBERTAD,1302,ASCOPE,130201,ASCOPE,ASCOPE,0001,1,INEI,130201,17.86426200866699,17.261737442016603,18.133236694335938
13,LA LIBERTAD,1311,GRAN CHIMU,131101,CASCAS,CASCAS,0001,1,INEI,131101,14.196843338012695,7.510574817657471,18.285963821411134
13,LA LIBERTAD,1302,ASCOPE,130208,CASA GRANDE,CASA GRANDE,0001,1,INEI,130208,17.67258046468099,16.665849876403808,18.119340896606445
06,CAJAMARCA,0605,CONTUMAZA,060505,SAN BENITO,SAN BENITO,0001,1,INEI,060505,15.870680618286134,11.93840045928955,18.391574096679687
13,LA LIBERTAD,1307,PACASMAYO,130701,SAN PEDRO DE LLOC,SAN PEDRO DE LLOC,0001,1,INEI,130701,17.878908575148806,17.51189842224121,18.3295841217041
06,CAJAMARCA,0605,CONTUMAZA,060503,CUPISNIQUE,TRINIDAD,0001,1,INEI,060503,14.989034356011285,12.709222030639648,17.498233795166016
23,TACNA,2301,TACNA,230110,CORONEL GREGORIO ALBARRACIN LANCHIPA,ALFONSO UGARTE,0001,1,INEI,230110,14.800521850585938,13.868512916564942,15.673765563964844
23,TACNA,2301,TACNA,230108,POCOLLAY,POCOLLAY,0001,1,INEI,230108,12.30186089409722,10.618823432922364,13.873744201660156
23,TACNA,2301,TACNA,230103,CALANA,CALANA,0001,1,INEI,230103,11.864772415161132,11.493389701843261,12.387540245056153
23,TACNA,2301,TACNA,230101,TACNA,TACNA,0001,1,INEI,230101,12.454092407226563,1.2840511798858643,16.35519313812256
23,TACNA,2301,TACNA,230109,SAMA,LAS YARAS,0001,1,INEI,230109,15.038134765625,13.808098793029785,16.25582103729248
23,TACNA,2301,TACNA,230104,CIUDAD NUEVA,CIUDAD NUEVA,0001,1,INEI,230104,11.816229030064175,10.62264575958252,12.727605628967286
23,TACNA,2303,JORGE BASADRE,230303,ITE,ITE,0001,1,INEI,230303,15.359222412109375,13.135655212402344,17.365322875976563
18,MOQUEGUA,1803,ILO,180301,ILO,ILO,0001,1,INEI,180301,15.844210815429687,14.109482383728027,17.71781005859375
23,TACNA,2301,TACNA,230102,ALTO DE LA ALIANZA,LA ESPERANZA,0001,1,INEI,230102,11.760835571289062,3.9654633045196532,13.45698184967041
23,TACNA,2301,TACNA,230106,PACHIA,PACHIA,0001,1,INEI,230106,8.70885154322574,-0.3923223361372947,12.935387229919433
23,TACNA,2304,TARATA,230404,ESTIQUE-PAMPA,ESTIQUE-PAMPA,0001,1,INEI,230404,5.7463860511779785,4.405406284332275,7.285700130462646
23,TACNA,2304,TARATA,230403,ESTIQUE,ESTIQUE,0001,1,INEI,230403,4.406302871704101,-2.8177301406860353,11.0035982131958
23,TACNA,2304,TARATA,230407,TARUCACHI,TARUCACHI,0001,1,INEI,230407,0.7286340832710266,-3.742120122909546,4.747303581237793
23,TACNA,2301,TACNA,230105,INCLAN,SAMA GRANDE,0001,1,INEI,230105,12.516345480213994,5.386836433410645,14.164838409423828
23,TACNA,2303,JORGE BASADRE,230301,LOCUMBA,LOCUMBA,0001,1,INEI,230301,13.195778547014509,12.060522651672363,14.611191940307616
18,MOQUEGUA,1803,ILO,180302,EL ALGARROBAL,EL ALGARROBAL,0001,1,INEI,180302,14.18482719089674,11.46422462463379,17.286405563354492
23,TACNA,2301,TACNA,230107,PALCA,PALCA,0001,1,INEI,230107,-2.3034716624133993,-6.900109958648682,9.634026908874512
23,TACNA,2304,TARATA,230402,HEROES ALBARRACIN,CHUCATAMANI,0001,1,INEI,230402,8.727951267787388,5.258618545532227,12.213849449157715
23,TACNA,2302,CANDARAVE,230204,CURIBAYA,CURIBAYA,0001,1,INEI,230204,8.13548011779785,7.150844097137451,10.003179359436036
