UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,TMIN_MEAN
30506,APURIMAC,COTABAMBAS,CHALLHUAHUACHO,1.8910208463668825
30303,APURIMAC,ANTABAMBA,HUAQUIRCA,1.9683201381138395
30713,APURIMAC,GRAU,VIRUNDO,1.2054972489674889
30304,APURIMAC,ANTABAMBA,JUAN ESPINOZA MEDRANO,1.314877874200994
30406,APURIMAC,AYMARAES,COTARUSE,1.8090130246918776
30301,APURIMAC,ANTABAMBA,ANTABAMBA,1.2631606292724609
30305,APURIMAC,ANTABAMBA,OROPESA,0.5583994449713291
30702,APURIMAC,GRAU,CURPAHUASI,1.0580168724060055
30109,APURIMAC,ABANCAY,TAMBURCO,1.6790102481842042
40119,AREQUIPA,AREQUIPA,SAN JUAN DE TARUCANI,-3.343182144165039
40519,AREQUIPA,CAYLLOMA,YANQUE,-2.548900624868032
40514,AREQUIPA,CAYLLOMA,SAN ANTONIO DE CHUCA,-4.390305680495042
40518,AREQUIPA,CAYLLOMA,TUTI,-3.25811903817313
40510,AREQUIPA,CAYLLOMA,LARI,-1.9649861199515208
40504,AREQUIPA,CAYLLOMA,CALLALLI,-3.001007843017578
40516,AREQUIPA,CAYLLOMA,TAPAY,-1.4188004970550536
40404,AREQUIPA,CASTILLA,CHACHAS,-1.4139397783977228
40505,AREQUIPA,CAYLLOMA,CAYLLOMA,-2.664481077802942
40515,AREQUIPA,CAYLLOMA,SIBAYO,-2.411034358631481
40517,AREQUIPA,CAYLLOMA,TISCO,-2.369338714599609
50304,AYACUCHO,HUANCA SANCOS,SANTIAGO DE LUCANAMARCA,1.6971918279474434
50301,AYACUCHO,HUANCA SANCOS,SANCOS,2.321792934251868
50703,AYACUCHO,PARINACOCHAS,CORONEL CASTANEDA,1.4759131354254644
51012,AYACUCHO,VICTOR FAJARDO,VILCANCHOS,2.8891633605957034
50806,AYACUCHO,PAUCAR DEL SARA SARA,OYOLO,0.933680236816406
50805,AYACUCHO,PAUCAR DEL SARA SARA,MARCABAMBA,2.495247316360474
50701,AYACUCHO,PARINACOCHAS,CORACORA,2.9312953218500666
50606,AYACUCHO,LUCANAS,CHIPAO,2.8050491714477537
50911,AYACUCHO,SUCRE,SORAS,3.2671500015258785
50202,AYACUCHO,CANGALLO,CHUSCHI,2.822961601844201
50205,AYACUCHO,CANGALLO,PARAS,1.5131553377423963
50114,AYACUCHO,HUAMANGA,VINCHOS,2.836304521560669
80805,CUSCO,ESPINAR,PALLPATA,-1.371271304426522
80801,CUSCO,ESPINAR,ESPINAR,-0.57912248528522
80808,CUSCO,ESPINAR,ALTO PICHIGUA,-1.1513287734985354
80807,CUSCO,ESPINAR,SUYCKUTAMBO,-0.7843327613103958
80804,CUSCO,ESPINAR,OCORURO,-1.5298987822099166
80606,CUSCO,CANCHIS,SAN PABLO,-1.129825119745164
81210,CUSCO,QUISPICANCHI,OCONGATE,-0.4607406096024946
80802,CUSCO,ESPINAR,CONDOROMA,-4.1229465060763895
80601,CUSCO,CANCHIS,SICUANI,-0.5436193180084229
80605,CUSCO,CANCHIS,PITUMARCA,-2.802390840318468
80602,CUSCO,CANCHIS,CHECACUPE,-2.396573691532529
90106,HUANCAVELICA,HUANCAVELICA,HUACHOCOLPA,-0.0470072789625687
90411,HUANCAVELICA,CASTROVIRREYNA,SANTA ANA,-0.968606168573553
90405,HUANCAVELICA,CASTROVIRREYNA,CHUPAMARCA,-0.1959244641390713
90401,HUANCAVELICA,CASTROVIRREYNA,CASTROVIRREYNA,0.5130130275603263
90118,HUANCAVELICA,HUANCAVELICA,ASCENSION,-0.7085527351924351
90113,HUANCAVELICA,HUANCAVELICA,NUEVO OCCORO,0.1628490671515464
90102,HUANCAVELICA,HUANCAVELICA,ACOBAMBILLA,-0.4708153088887532
90403,HUANCAVELICA,CASTROVIRREYNA,AURAHUA,0.1139153645588801
90116,HUANCAVELICA,HUANCAVELICA,VILCA,0.8030078967412313
90607,HUANCAVELICA,HUAYTARA,PILPICHACA,0.5062351331318894
120807,JUNIN,YAULI,SANTA BARBARA DE CARHUACAYAN,0.4952304233204234
120909,JUNIN,CHUPACA,YANACANCHA,-0.2338189716339111
120804,JUNIN,YAULI,MARCAPOMACOCHA,-0.3339530320003114
120903,JUNIN,CHUPACA,CHONGOS BAJO,0.0146412700414657
120106,JUNIN,HUANCAYO,CHICCHE,-0.0667575299739837
120108,JUNIN,HUANCAYO,CHONGOS ALTO,-0.813909796009893
120809,JUNIN,YAULI,SUITUCANCHA,-0.5526128019605364
120405,JUNIN,JAUJA,CANCHAYLLO,0.2560744512826204
120805,JUNIN,YAULI,MOROCOCHA,-0.3878842380311754
